objectid,filename,title,format,description,medium,date,item_type,item_dimensions,identifier,filesize,object_location,image_small,image_thumb,image_alt_text
item001,mothmug.jpg,Moth Mug,image/jpeg,"Wheel-thrown double-handled speckled stoneware mug, decorated with moths, glazed green interior",Ceramic Stoneware,2022-05-11,mug,5 in x 6 in,00mm-2022,2MB,/objects/mothmug.jpg,/objects/small/mothmug.jpg,/objects/thumbs/mothmug.jpg,"image of speckled stoneware mug sitting on cement ledge in front of grass. The body is decorated with various moths, has two small handles on the right hand side. The interior is glazed dark green. "
item002,grannytote.jpg,Granny Tote,image/jpeg,Multicolored cotton crochet tote bag,"Crochet, Cotton Yarn",2023-03-06,tote bag,12 in x 16 in,00gt-2023,1.5MB,/objects/grannytote.jpg,/objects/small/grannytote.jpg,/objects/thumbs/grannytote.jpg,image of a multicolored granny square crochet totebag hanging on the wall 
item003,frogtapestry.jpg,Poison Dart Frog Tapestry,image/jpeg,Large crocheted tapestry of strawberry poison dart frog. ,"Crochet, Cotton Yarn",2023-01-20,tapestry,26 in x 18 in,00pd-2023,2.6MB,/objects/frogtapestry.jpg,/objects/small/frogtapestry.jpg,/objects/thumbs/frogtapestry.jpg,image of a large crocheted tapestry of a pink poison dart frog with blue and purple legs and speckled black and white background hanging on a red brick wall. 
item004,panther.jpg,Panther Tapestry,image/jpeg,Large crocheted tapestry of black panther in traditional tattoo style. ,"Crochet, Acrylic Yarn",2022-12-18,tapestry,16 in x 25 in ,00pt-2022,1.8MB,/objects/panther.jpg,/objects/small/panther.jpg,/objects/thumbs/panther.jpg,image of a crocheted tapestry of a black panther in american traditional tattoo style with checkered border. The tapestry is hanging on the wall.
item005,xlflower.jpg,XL Flower,image/jpeg,Extra large crocheted purple flower cushion,"Crochet, Acrylic Yarn",2022-08-04,cushion,32 in x 32 in ,00xl-2022,2MB,/objects/xlflower.jpg,/objects/small/xlflower.jpg,/objects/thumbs/xlflower.jpg,image of a large crocheted purple flower cushion with white center. The cushion is sitting on a brown chair on an exterior deck. Next to the chair is a small green table with two plants and a drink on top. 
item006,checkermug.jpg,Checkerboard Mug,image/jpeg,"Wheel-thrown speckled stoneware mug. The body of the mug is decorated with blue checkerboard, the handle is decorated with images of dice",Ceramic Stoneware,2022-05-16,mug,5 in x 6 in ,00cm-2022,2MB,/objects/checkermug.jpg,/objects/small/checkermug.jpg,/objects/thumbs/checkermug.jpg,"image of speckled stoneware mug with blue checkerboard body sitting on cement ledge in front of grass. The handle of the mug is decorated with images of black dice, interior is glazed light pink. "
item007,wovenrug.jpg,Woven Rug,image/jpeg,Handwoven multicolored rug,Rigid Heddle Weaving,2023-08-07,rug,64 in x 28 in,00wr-2023,2MB,/objects/wovenrug.jpg,/objects/small/wovenrug.jpg,/objects/thumbs/wovenrug.jpg,"image of a large woven rug being held up by a woman on an exterior deck. The rug is various shades of gold, purple and green with fringed ends. "
item008,grannycardigan.jpg,Granny Cardigan,image/jpeg,"Crocheted pink, white, purple and red cardigan","Crochet, Acrylic Yarn",2022-05-12,cardigan,25 in x 24 in,00gc-2022,2.7MB,/objects/grannycardigan.jpg,/objects/small/grannycardigan.jpg,/objects/thumbs/grannycardigan.jpg,"image of a crocheted open front cardigan. The cardigan is made of large granny squares in red, purple, pink and white. "
item009,floraltop.jpg,Floral Top ,image/jpeg,Crocheted white top with pink flowers and lace trim. ,"Crochet, Cotton Yarn",2022-04-12,top,15 in x 12 in ,00ft-2022,1.9MB,/objects/floraltop.jpg,/objects/small/floraltop.jpg,/objects/thumbs/floraltop.jpg,flat lay image of a crocheted white tank top. The top has four hot pink flowers around the bottom and lace trim all the way around
item010,smilerug.jpg,Smile Rug,image/jpeg,Small hand-tufted rug. Pink and black checkerboard background with yellow smile and frown faces overlapping  ,"Tufting, Acrylic Yarn",2021-02-18,rug,18 in x 14 in,00sr-2021,2.4MB,/objects/smilerug.jpg,/objects/small/smilerug.jpg,/objects/thumbs/smilerug.jpg,flat lay image of a tufted rug. The rug has a black and pink waved checkerboard background. The foreground is a smile face and frown face overlapping one another like a Venn diagram. 
item011,picklemugs.jpg,Pickle Mugs,image/jpeg,"Four wheel-thrown porcelain mugs. Each mug is decorated with paintings of pickles on the exterior, and various colored glaze interiors.",Porcelain ,2020-12-10,mugs,3.5 x 4.5,00pm-2020,1.8MB,/objects/picklemugs.jpg,/objects/small/picklemugs.jpg,/objects/thumbs/picklemugs.jpg,"image of four porcelain mugs lined up on a rattan shelf. Each mug is white with green pickles and multicolored sprinkles. The interior of the mugs are glazed (in order) in lavender, yellow, blue, and pink.  "
item012,marbledteacups.jpg,Marbled Teacups,image/jpeg,Five wheel-thrown porcelain teacups with black marbled glaze,Porcelain ,2019-11-14,teacups,2.5 x 3,00mt-2019,994KB,/objects/marbledteacups.jpg,/objects/small/marbledteacups.jpg,/objects/thumbs/marbledteacups.jpg,image of five porcelain teacups. Each teacup is white with black marbled glaze. 
item013,starbursttank.jpg,Starburst Tank,image/jpeg,"Crocheted tanktop made with purple, pink, orange and yellow yarn","Crochet, Acrylic Yarn",2022-02-13,top,14 in x 17 in,00st-2022,2.2MB,/objects/starbursttank.jpg,/objects/small/starbursttank.jpg,/objects/thumbs/starbursttank.jpg,"image of a crocheted tank top. The top has a starburst granny square design that starts purple on the outside and transitions to pink, orange, and yellow, and repeats to the center. The top is trimmed with a hot pink border.  "
